x,y,age,cohort
-7.58,13.32,4.77,4
2.33,20.17,4.86,4
-0.01,-4.53,4.15,5
-8.39,9.95,4.47,5
11.97,3.04,4.84,4
-14.70,21.70,3.61,5
2.85,4.91,4.25,5
8.08,-1.83,3.53,5
-0.50,10.39,3.52,5
8.97,4.39,4.36,5
8.22,2.40,3.98,5
-6.12,2.91,3.79,5
7.75,4.96,3.85,5
4.25,6.92,3.64,5
3.96,-3.22,4.77,4
-7.13,16.58,3.62,5
7.40,0.19,3.61,5
-27.71,8.60,4.58,4
7.41,-3.43,3.97,5
-30.16,-12.62,3.59,5
-5.80,0.69,4.36,5
2.90,2.03,3.82,5
9.45,1.90,3.87,5
6.73,2.22,4.06,5
0.95,-5.44,3.93,5
7.27,0.96,3.93,5
-52.37,18.46,3.99,5
-45.09,-2.23,3.53,5
1.86,4.24,4.31,5
7.26,-15.73,4.16,5
-7.00,-9.46,4.08,5
-7.79,-0.40,5.43,4
6.45,0.62,5.81,3
-39.84,42.95,5.99,3
-68.89,-10.01,5.99,3
-19.06,14.90,5.39,4
-26.07,1.69,5.52,3
1.51,-2.21,5.55,3
-24.13,13.24,5.54,3
-41.24,-37.18,5.29,4
1.04,-0.62,5.49,4
-2.94,-12.97,5.01,4
7.57,6.18,5.79,3
-18.31,2.97,5.76,3
0.45,1.06,5.18,4
-24.52,-39.10,5.97,3
3.87,-12.97,5.47,4
-1.55,-7.87,5.99,3
5.40,-0.68,5.23,4
-2.15,-3.29,5.31,4
-1.91,9.32,5.38,4
6.82,-0.93,5.46,4
-4.17,7.63,5.46,4
4.07,0.61,5.99,3
5.52,2.02,5.82,3
-10.46,-2.49,5.26,4
5.08,1.13,5.66,3
6.66,1.56,5.13,4
-1.40,-16.35,5.51,3
5.41,-5.12,5.12,4
-102.41,-42.66,5.56,3
7.47,-4.77,5.46,4
6.00,1.31,5.33,4
-13.42,-22.93,5.44,4
5.16,3.13,5.02,4
2.14,-5.30,7.00,3
-3.35,0.04,7.92,2
-1.85,-10.20,7.92,2
-10.86,-15.72,7.96,2
-20.06,0.82,7.15,3
8.89,-12.28,7.13,3
-0.86,-22.03,7.91,2
-5.94,-6.25,7.95,2
9.46,-3.62,7.95,2
-10.70,-41.53,7.83,2
-17.17,-12.22,7.06,3
5.88,5.64,9.45,2
-43.38,-23.40,8.60,2
-5.04,-5.42,7.07,3
4.72,-0.27,7.91,2
-3.46,-44.32,7.91,2
3.89,0.91,9.76,1
-11.23,1.80,7.28,3
-2.03,-0.23,7.10,3
-26.25,-7.43,9.48,2
-4.16,5.14,7.46,3
2.83,5.93,9.96,1
3.60,-0.32,7.71,2
-15.77,-7.71,8.02,2
-24.74,-24.53,8.15,2
-5.49,4.53,9.70,1
6.61,-1.52,8.48,2
-1.24,2.28,8.59,2
-4.01,-9.74,9.52,1
-3.16,-1.62,9.94,1
-2.73,-2.72,7.13,3
3.51,8.79,8.87,2
14.74,3.22,10.19,1
9.09,-2.73,7.66,2
8.70,1.44,9.59,1
14.36,1.48,11.17,1
11.04,-2.39,11.17,1
-1.66,24.17,10.55,1
-47.51,26.79,8.57,2
3.40,-15.67,8.66,2
1.26,14.11,8.02,2
12.36,7.04,11.51,1
10.11,6.29,10.70,1
11.36,6.50,10.38,1
12.11,-4.01,10.78,1
9.00,-10.15,8.62,2
9.50,8.70,12.05,1
11.93,0.05,10.29,1
-18.36,33.05,7.43,3
14.41,2.77,9.68,1
4.83,40.81,7.68,2
11.86,-0.84,12.30,1
15.35,0.63,10.50,1
11.53,10.25,8.62,2
12.36,-2.34,11.48,1
14.43,-15.39,8.76,2
6.12,4.79,7.21,3
14.71,3.92,27.06,0
10.18,-3.02,33.44,0
12.21,4.22,31.00,0
13.66,0.31,19.00,0
12.13,1.84,23.00,0
12.80,6.24,27.00,0
16.56,4.04,23.00,0
13.80,6.28,21.00,0
13.43,-1.31,39.00,0
15.37,-0.24,22.00,0
12.14,2.25,21.00,0
13.84,3.89,25.00,0
12.92,3.16,21.00,0
12.79,3.51,25.00,0
12.95,2.06,34.00,0
15.30,4.90,28.00,0
14.31,-0.89,18.00,0
11.59,7.35,19.00,0
10.77,2.56,22.00,0
15.87,2.35,33.00,0
13.29,2.67,22.00,0
14.62,-1.69,20.00,0
14.09,3.14,22.00,0
16.04,1.58,18.00,0
12.23,5.91,21.00,0
14.40,5.58,31.00,0
11.00,16.34,24.00,0
16.60,-9.25,19.00,0
11.79,3.31,23.00,0
12.90,4.01,21.00,0
12.03,2.60,30.00,0
14.10,3.63,29.00,0
13.94,2.49,26.00,0
