x,y,age,cohort
1.85,8.97,4.77,4
3.19,8.75,4.86,4
1.59,7.60,4.15,5
1.14,5.20,4.47,5
2.27,6.22,4.84,4
3.14,7.07,3.61,5
1.17,3.89,4.25,5
1.33,3.79,3.53,5
0.91,4.00,3.52,5
1.56,5.74,4.36,5
1.58,4.75,3.98,5
0.80,4.50,3.79,5
2.06,5.49,3.85,5
1.44,6.76,3.64,5
0.98,2.25,4.77,4
0.91,3.25,3.62,5
1.35,4.39,3.61,5
1.11,4.80,4.58,4
1.31,3.44,3.97,5
1.94,5.74,3.59,5
0.28,1.49,4.36,5
0.94,2.64,3.82,5
0.90,2.24,3.87,5
0.64,3.13,4.06,5
0.45,1.39,3.93,5
1.00,2.32,3.93,5
0.46,1.03,3.99,5
0.76,2.28,3.53,5
0.70,3.24,4.31,5
0.33,0.98,4.16,5
1.17,3.45,4.08,5
-0.40,-1.09,5.43,4
-0.04,-0.04,5.81,3
-0.25,0.16,5.99,3
-0.35,-0.46,5.99,3
0.32,-0.59,5.39,4
0.19,0.02,5.52,3
-0.22,-0.52,5.55,3
-0.35,-1.15,5.54,3
-0.09,0.10,5.29,4
-0.56,-1.67,5.49,4
0.10,0.85,5.01,4
0.13,0.94,5.79,3
-0.28,-0.35,5.76,3
0.22,0.82,5.18,4
0.08,0.39,5.97,3
-0.28,-0.70,5.47,4
-0.36,-0.58,5.99,3
-0.47,-1.60,5.23,4
-0.33,-1.06,5.31,4
-0.14,-0.76,5.38,4
-0.12,-0.11,5.46,4
0.58,0.10,5.46,4
-0.14,-0.41,5.99,3
-0.41,-1.61,5.82,3
-0.34,-0.15,5.26,4
-0.80,-1.64,5.66,3
-0.22,-1.36,5.13,4
0.55,2.19,5.51,3
-0.50,-1.67,5.12,4
-0.07,-0.70,5.56,3
-0.43,-1.44,5.46,4
-0.52,-1.82,5.33,4
-0.44,-1.11,5.44,4
-0.15,-0.63,5.02,4
-0.04,-0.16,7.00,3
-0.64,-2.08,7.92,2
-0.17,-0.70,7.92,2
-0.37,-1.49,7.96,2
0.26,-0.83,7.15,3
-0.13,0.15,7.13,3
-0.23,-1.00,7.91,2
-0.40,-1.21,7.95,2
0.19,0.46,7.95,2
-0.50,-2.26,7.83,2
-0.05,0.37,7.06,3
-0.38,-0.74,9.45,2
-0.45,-0.81,8.60,2
0.10,-0.42,7.07,3
-0.16,-0.48,7.91,2
-0.52,-1.35,7.91,2
-0.15,-0.52,9.76,1
-0.26,-0.99,7.28,3
-0.48,-1.56,7.10,3
-0.43,-0.51,9.48,2
-0.55,-2.21,7.46,3
-0.37,-0.94,9.96,1
-0.40,-1.60,7.71,2
-0.13,-0.91,8.02,2
-0.61,-1.45,8.15,2
-0.65,-0.83,9.70,1
-0.12,-0.30,8.48,2
-0.57,-1.57,8.59,2
-0.62,-1.15,9.52,1
-0.48,-1.27,9.94,1
-0.57,-1.29,7.13,3
-0.83,-3.19,8.87,2
0.08,0.61,10.19,1
-0.33,-0.68,7.66,2
0.77,2.63,9.59,1
-0.24,-0.54,11.17,1
-0.24,-0.69,11.17,1
0.41,0.49,10.55,1
-0.84,-2.49,8.57,2
-0.58,-1.80,8.66,2
-0.59,-2.31,8.02,2
-0.52,-2.36,11.51,1
-0.44,-1.57,10.70,1
-0.71,-2.26,10.38,1
-0.41,-1.70,10.78,1
-0.59,-2.52,8.62,2
-0.46,-1.65,12.05,1
-0.68,-2.95,10.29,1
-0.63,-2.47,7.43,3
-0.37,-1.04,9.68,1
-0.60,-2.99,7.68,2
-0.54,-2.13,12.30,1
-0.68,-2.42,10.50,1
-0.50,-1.89,8.62,2
-0.42,-1.85,11.48,1
-0.62,-3.36,8.76,2
-0.29,-1.16,7.21,3
-0.82,-3.02,27.06,0
-0.01,0.70,33.44,0
-0.57,-1.91,31.00,0
-0.21,-0.40,19.00,0
-0.51,-1.63,23.00,0
-0.32,-0.96,27.00,0
-0.28,-0.61,23.00,0
-0.30,-0.91,21.00,0
-0.40,-0.52,39.00,0
-0.16,-0.20,22.00,0
-0.69,-2.74,21.00,0
-0.01,0.10,25.00,0
-0.54,-1.81,21.00,0
-0.34,-0.91,25.00,0
-0.78,-3.40,34.00,0
0.01,0.43,28.00,0
-0.18,-1.18,18.00,0
-0.29,-0.80,19.00,0
-0.64,-2.28,22.00,0
-0.37,-1.20,33.00,0
-0.71,-2.18,22.00,0
-0.51,-1.57,20.00,0
0.01,0.10,22.00,0
-0.24,-0.74,18.00,0
-0.59,-2.05,21.00,0
-0.26,-1.31,31.00,0
-0.59,-2.23,24.00,0
-0.32,-1.83,19.00,0
-0.60,-2.18,23.00,0
-0.14,-0.42,21.00,0
-0.39,-1.30,30.00,0
-0.65,-2.14,29.00,0
-0.09,-0.06,26.00,0
