x,y,age,cohort
5.99,-0.95,4.77,4
8.16,-0.87,4.86,4
6.95,-0.66,4.15,5
4.67,-1.14,4.47,5
5.33,-1.16,4.84,4
3.15,-0.73,3.61,5
3.33,-0.63,4.25,5
8.50,-2.27,3.53,5
5.22,-0.87,3.52,5
4.92,-0.89,4.36,5
8.72,-2.36,3.98,5
6.41,-1.96,3.79,5
4.73,-1.01,3.85,5
5.22,-1.37,3.64,5
3.06,-0.77,4.77,4
4.80,-0.87,3.62,5
3.18,-0.64,3.61,5
5.58,-1.54,4.58,4
5.78,-1.39,3.97,5
5.01,-1.01,3.59,5
2.50,-0.43,4.36,5
1.86,-0.54,3.82,5
3.07,-0.73,3.87,5
3.99,-0.99,4.06,5
1.30,-0.37,3.93,5
1.88,-0.60,3.93,5
2.91,-0.94,3.99,5
2.75,-0.58,3.53,5
3.61,-0.96,4.31,5
2.95,-0.65,4.16,5
3.66,-0.85,4.08,5
-2.13,0.53,5.43,4
-1.19,0.27,5.81,3
-0.39,-0.15,5.99,3
-0.71,0.23,5.99,3
-2.16,0.57,5.39,4
-2.13,0.47,5.52,3
-1.53,0.38,5.55,3
-0.04,-0.14,5.54,3
-1.85,0.40,5.29,4
-1.93,0.46,5.49,4
-2.37,0.59,5.01,4
-1.59,0.37,5.79,3
-1.66,0.42,5.76,3
3.97,-0.84,5.18,4
-0.99,0.31,5.97,3
-1.07,0.21,5.47,4
0.40,-0.27,5.99,3
-2.47,0.59,5.23,4
-2.39,0.54,5.31,4
-1.72,0.37,5.38,4
-2.08,0.50,5.46,4
-1.64,0.35,5.46,4
-1.90,0.46,5.99,3
-0.89,0.19,5.82,3
-1.79,0.40,5.26,4
-1.02,0.21,5.66,3
-1.12,0.24,5.13,4
-0.23,0.04,5.51,3
-2.94,0.68,5.12,4
-0.89,0.51,5.56,3
-2.59,0.57,5.46,4
-1.69,0.40,5.33,4
-1.50,0.33,5.44,4
-0.44,0.08,5.02,4
-1.44,0.33,7.00,3
-2.20,0.52,7.92,2
-0.80,0.16,7.92,2
-1.61,0.43,7.96,2
-1.46,0.38,7.15,3
-0.02,-0.09,7.13,3
0.86,-0.29,7.91,2
-0.20,-0.03,7.95,2
3.34,-0.72,7.95,2
-1.95,0.41,7.83,2
-0.64,0.16,7.06,3
1.41,-0.53,9.45,2
0.22,-0.16,8.60,2
0.01,-0.07,7.07,3
-1.47,0.34,7.91,2
-2.04,0.53,7.91,2
-1.68,0.39,9.76,1
-1.62,0.37,7.28,3
-0.05,-0.08,7.10,3
0.32,-0.25,9.48,2
-1.90,0.42,7.46,3
1.84,-0.62,9.96,1
-0.83,0.17,7.71,2
-1.02,0.25,8.02,2
-1.83,0.47,8.15,2
0.25,-0.26,9.70,1
-0.92,0.20,8.48,2
0.63,-0.35,8.59,2
1.13,-0.43,9.52,1
1.19,-0.46,9.94,1
0.03,-0.05,7.13,3
-2.33,0.64,8.87,2
3.40,-0.67,10.19,1
-1.01,0.19,7.66,2
3.85,-0.70,9.59,1
-0.47,0.12,11.17,1
-1.91,0.50,11.17,1
0.13,0.24,10.55,1
-1.61,0.68,8.57,2
-2.30,0.49,8.66,2
-1.50,0.27,8.02,2
-0.83,0.20,11.51,1
-0.72,0.15,10.70,1
-1.53,0.35,10.38,1
-1.22,0.34,10.78,1
-2.25,0.34,8.62,2
-1.57,0.36,12.05,1
-3.12,0.94,10.29,1
-0.53,-0.08,7.43,3
0.57,-0.34,9.68,1
-2.64,1.00,7.68,2
-0.86,0.15,12.30,1
-1.05,0.19,10.50,1
-1.65,0.21,8.62,2
-1.48,0.40,11.48,1
-3.41,1.12,8.76,2
-1.38,0.33,7.21,3
-2.90,0.71,27.06,0
1.20,-0.54,33.44,0
-1.70,0.40,31.00,0
-2.52,0.59,19.00,0
-2.36,0.53,23.00,0
-1.26,0.27,27.00,0
-2.41,0.57,23.00,0
-1.13,0.27,21.00,0
-1.44,0.35,39.00,0
-1.91,0.46,22.00,0
-2.55,0.58,21.00,0
-1.15,0.25,25.00,0
-2.18,0.52,21.00,0
-2.90,0.72,25.00,0
-3.86,0.59,34.00,0
-1.52,0.37,28.00,0
-0.81,0.14,18.00,0
-2.00,0.48,19.00,0
-2.59,0.61,22.00,0
-1.18,0.26,33.00,0
-2.17,0.52,22.00,0
-1.07,0.25,20.00,0
0.97,-0.34,22.00,0
-0.77,0.17,18.00,0
-2.43,0.56,21.00,0
-2.15,0.53,31.00,0
-2.16,0.41,24.00,0
-2.14,0.41,19.00,0
-2.39,0.53,23.00,0
1.57,-0.41,21.00,0
-2.18,0.53,30.00,0
-2.45,0.57,29.00,0
-0.09,-0.02,26.00,0
