x,y,age,cohort
-2.56,4.20,4.77,4
-3.79,6.54,4.86,4
-2.24,4.39,4.15,5
-2.20,3.66,4.47,5
-2.12,3.74,4.84,4
-2.81,5.46,3.61,5
-1.85,3.81,4.25,5
-3.08,6.09,3.53,5
-3.64,7.02,3.52,5
-4.53,6.83,4.36,5
-3.05,5.61,3.98,5
-3.92,6.41,3.79,5
-4.22,6.70,3.85,5
-3.61,7.38,3.64,5
-4.41,6.68,4.77,4
-2.22,3.53,3.62,5
-1.87,3.28,3.61,5
-3.14,5.57,4.58,4
-1.04,2.43,3.97,5
-2.22,3.97,3.59,5
-1.69,3.25,4.36,5
-1.19,2.73,3.82,5
-0.69,1.50,3.87,5
-2.05,3.66,4.06,5
-3.46,6.89,3.93,5
-2.75,4.96,3.93,5
-2.65,4.50,3.99,5
-2.70,5.85,3.53,5
-2.17,4.20,4.31,5
-1.57,2.85,4.16,5
-2.93,4.80,4.08,5
-0.79,1.50,5.43,4
-0.11,0.32,5.81,3
-0.86,2.38,5.99,3
-0.80,2.34,5.99,3
-0.07,0.25,5.39,4
-0.33,0.82,5.52,3
-0.02,0.35,5.55,3
0.48,-1.07,5.54,3
-0.61,1.45,5.29,4
-0.11,0.57,5.49,4
-1.87,3.45,5.01,4
-0.84,1.87,5.79,3
-0.74,2.02,5.76,3
0.35,-0.40,5.18,4
-0.10,0.38,5.97,3
-0.13,1.08,5.47,4
0.22,-0.15,5.99,3
0.34,-0.60,5.23,4
-0.51,1.43,5.31,4
-0.51,1.11,5.38,4
-0.91,2.07,5.46,4
-0.86,2.03,5.46,4
-0.46,0.95,5.99,3
0.75,-1.33,5.82,3
0.96,-1.73,5.26,4
0.71,-1.40,5.66,3
-0.19,0.54,5.13,4
-0.05,1.41,5.51,3
-0.43,0.90,5.12,4
-0.32,0.33,5.56,3
0.44,-0.78,5.46,4
0.13,-0.21,5.33,4
0.01,0.01,5.44,4
-0.25,0.84,5.02,4
-1.08,2.23,7.00,3
0.12,-0.00,7.92,2
-0.13,0.51,7.92,2
0.40,-0.47,7.96,2
0.16,-0.34,7.15,3
0.04,0.37,7.13,3
0.11,0.14,7.91,2
1.14,-2.34,7.95,2
0.75,-1.53,7.95,2
0.98,-2.05,7.83,2
-0.85,1.77,7.06,3
0.60,-1.00,9.45,2
-0.69,1.78,8.60,2
0.31,-0.52,7.07,3
-0.84,1.85,7.91,2
-0.10,0.02,7.91,2
1.47,-3.00,9.76,1
0.60,-0.93,7.28,3
0.56,-1.09,7.10,3
1.14,-2.05,9.48,2
0.99,-1.83,7.46,3
1.27,-2.50,9.96,1
0.05,0.23,7.71,2
0.41,-0.83,8.02,2
0.04,0.53,8.15,2
0.08,0.10,9.70,1
-0.97,1.95,8.48,2
0.88,-1.72,8.59,2
1.07,-2.08,9.52,1
0.73,-1.27,9.94,1
0.53,-0.76,7.13,3
1.62,-3.50,8.87,2
0.84,-1.55,10.19,1
1.53,-2.92,7.66,2
0.80,-1.37,9.59,1
1.40,-2.72,11.17,1
-0.54,1.47,11.17,1
1.43,-3.24,10.55,1
1.14,-2.36,8.57,2
1.22,-2.29,8.66,2
1.22,-2.41,8.02,2
1.44,-2.75,11.51,1
1.48,-2.61,10.70,1
1.76,-3.53,10.38,1
1.29,-2.64,10.78,1
1.65,-3.09,8.62,2
0.49,-0.63,12.05,1
0.93,-1.67,10.29,1
1.39,-2.30,7.43,3
1.64,-3.26,9.68,1
1.33,-2.22,7.68,2
0.78,-1.65,12.30,1
2.00,-3.87,10.50,1
1.57,-3.27,8.62,2
1.64,-3.19,11.48,1
1.90,-3.56,8.76,2
0.39,-0.69,7.21,3
1.92,-3.68,27.06,0
1.55,-3.12,33.44,0
1.38,-2.61,31.00,0
1.11,-2.15,19.00,0
1.59,-3.19,23.00,0
0.75,-1.39,27.00,0
2.00,-4.16,23.00,0
2.14,-4.10,21.00,0
1.20,-2.32,39.00,0
1.73,-3.54,22.00,0
1.56,-3.02,21.00,0
0.82,-1.51,25.00,0
1.45,-2.88,21.00,0
2.03,-3.78,25.00,0
2.06,-4.13,34.00,0
1.73,-3.44,28.00,0
1.64,-3.38,18.00,0
1.91,-4.01,19.00,0
1.30,-2.69,22.00,0
1.37,-2.75,33.00,0
1.44,-2.77,22.00,0
1.59,-3.14,20.00,0
1.69,-3.44,22.00,0
0.60,-1.12,18.00,0
0.89,-1.78,21.00,0
1.52,-3.07,31.00,0
0.61,-1.39,24.00,0
1.33,-2.63,19.00,0
1.25,-2.55,23.00,0
1.48,-2.91,21.00,0
1.38,-2.63,30.00,0
1.24,-2.51,29.00,0
1.50,-2.84,26.00,0
