x,y,age,cohort
-3.44,5.81,4.77,4
-2.95,7.52,4.86,4
-2.89,4.21,4.15,5
-2.54,4.53,4.47,5
-2.68,5.24,4.84,4
-3.66,5.69,3.61,5
-1.87,3.78,4.25,5
-2.61,4.25,3.53,5
-2.04,3.21,3.52,5
-3.25,5.78,4.36,5
-3.25,6.44,3.98,5
-2.60,6.12,3.79,5
-3.51,5.68,3.85,5
-3.16,7.31,3.64,5
-3.19,5.77,4.77,4
-2.48,3.86,3.62,5
-0.61,1.25,3.61,5
-3.05,4.55,4.58,4
-1.48,2.56,3.97,5
-2.66,4.01,3.59,5
-1.88,2.89,4.36,5
-2.28,3.17,3.82,5
-1.68,2.90,3.87,5
-3.24,4.63,4.06,5
-2.32,4.09,3.93,5
-2.29,3.42,3.93,5
-2.19,3.23,3.99,5
0.29,-1.01,3.53,5
-2.40,4.34,4.31,5
-1.57,2.43,4.16,5
-2.46,3.47,4.08,5
-0.60,0.89,5.43,4
0.25,-0.54,5.81,3
-0.14,0.83,5.99,3
-0.85,1.27,5.99,3
0.17,0.02,5.39,4
-0.45,0.69,5.52,3
-0.22,0.46,5.55,3
0.50,-1.00,5.54,3
0.02,-0.38,5.29,4
0.15,-0.29,5.49,4
-0.06,0.09,5.01,4
-1.38,2.60,5.79,3
-0.31,0.25,5.76,3
-0.55,1.11,5.18,4
-1.21,2.08,5.97,3
-0.58,0.99,5.47,4
-0.99,1.42,5.99,3
-0.45,0.65,5.23,4
1.05,-1.78,5.31,4
-0.42,0.89,5.38,4
0.36,-0.70,5.46,4
-0.40,0.32,5.46,4
-0.44,0.62,5.99,3
-0.14,0.25,5.82,3
-0.56,0.39,5.26,4
0.43,-0.69,5.66,3
0.50,-0.78,5.13,4
0.25,0.26,5.51,3
0.73,-1.22,5.12,4
-1.22,1.46,5.56,3
0.57,-0.76,5.46,4
0.26,-0.42,5.33,4
0.52,-0.68,5.44,4
-0.07,-0.10,5.02,4
-0.83,1.52,7.00,3
0.25,-0.32,7.92,2
-0.68,0.99,7.92,2
0.44,-0.47,7.96,2
-0.17,0.54,7.15,3
-0.32,0.54,7.13,3
-0.35,0.47,7.91,2
0.36,-0.79,7.95,2
0.66,-1.20,7.95,2
0.82,-1.58,7.83,2
-1.05,1.81,7.06,3
0.81,-1.45,9.45,2
-0.36,0.77,8.60,2
-0.23,0.39,7.07,3
-0.26,0.32,7.91,2
-0.55,0.81,7.91,2
1.37,-2.47,9.76,1
0.08,-0.45,7.28,3
0.25,-0.46,7.10,3
0.92,-1.61,9.48,2
0.30,-0.43,7.46,3
0.63,-0.98,9.96,1
-0.08,0.05,7.71,2
-0.20,0.28,8.02,2
0.43,-0.82,8.15,2
0.09,-0.16,9.70,1
-0.48,0.85,8.48,2
0.31,-0.43,8.59,2
0.70,-1.02,9.52,1
0.33,-0.51,9.94,1
0.16,-0.21,7.13,3
1.54,-2.73,8.87,2
1.04,-1.83,10.19,1
0.79,-1.28,7.66,2
0.32,-0.20,9.59,1
1.51,-2.77,11.17,1
-0.36,0.73,11.17,1
1.36,-1.73,10.55,1
0.63,-1.39,8.57,2
0.89,-1.73,8.66,2
1.41,-2.44,8.02,2
1.32,-2.24,11.51,1
1.92,-3.33,10.70,1
1.48,-2.64,10.38,1
1.23,-2.06,10.78,1
1.57,-2.77,8.62,2
0.68,-1.09,12.05,1
0.76,-1.39,10.29,1
1.16,-1.57,7.43,3
1.90,-3.05,9.68,1
1.19,-2.19,7.68,2
1.38,-2.33,12.30,1
1.82,-2.93,10.50,1
1.83,-3.09,8.62,2
1.08,-1.88,11.48,1
1.81,-3.25,8.76,2
0.66,-1.23,7.21,3
1.66,-2.90,27.06,0
1.15,-1.76,33.44,0
1.35,-2.30,31.00,0
0.85,-1.57,19.00,0
1.02,-1.87,23.00,0
0.75,-1.17,27.00,0
1.73,-2.73,23.00,0
1.81,-2.97,21.00,0
1.06,-1.97,39.00,0
1.41,-2.49,22.00,0
1.77,-3.02,21.00,0
1.32,-2.22,25.00,0
1.77,-2.96,21.00,0
1.73,-3.03,25.00,0
2.08,-4.28,34.00,0
1.18,-1.99,28.00,0
1.99,-3.06,18.00,0
1.76,-2.89,19.00,0
1.60,-2.71,22.00,0
1.27,-2.22,33.00,0
1.37,-2.41,22.00,0
1.99,-3.21,20.00,0
1.13,-2.07,22.00,0
0.73,-1.33,18.00,0
1.16,-2.25,21.00,0
1.77,-2.88,31.00,0
1.12,-1.91,24.00,0
1.23,-2.26,19.00,0
1.46,-2.51,23.00,0
1.32,-2.43,21.00,0
1.46,-2.61,30.00,0
1.50,-2.60,29.00,0
1.45,-2.33,26.00,0
