x,y,age,cohort
5.14,-1.05,4.77,4
8.35,-0.69,4.86,4
7.21,-0.49,4.15,5
4.83,-1.29,4.47,5
5.35,-1.34,4.84,4
3.63,-0.90,3.61,5
2.82,-0.54,4.25,5
7.61,-1.65,3.53,5
3.97,-0.74,3.52,5
4.79,-0.97,4.36,5
8.82,-2.31,3.98,5
5.31,-1.49,3.79,5
4.70,-1.12,3.85,5
5.68,-1.82,3.64,5
3.07,-0.74,4.77,4
4.78,-1.00,3.62,5
3.07,-0.64,3.61,5
5.28,-1.53,4.58,4
4.36,-1.12,3.97,5
5.35,-1.23,3.59,5
2.83,-0.48,4.36,5
1.47,-0.40,3.82,5
3.45,-0.90,3.87,5
4.21,-1.13,4.06,5
1.88,-0.35,3.93,5
1.99,-0.57,3.93,5
2.89,-0.83,3.99,5
1.01,-0.25,3.53,5
3.48,-0.98,4.31,5
3.05,-0.69,4.16,5
3.40,-0.84,4.08,5
-1.62,0.38,5.43,4
-1.46,0.37,5.81,3
-0.45,-0.08,5.99,3
-0.47,0.06,5.99,3
-1.62,0.44,5.39,4
-1.49,0.38,5.52,3
-1.36,0.34,5.55,3
-0.16,-0.02,5.54,3
-1.61,0.33,5.29,4
-1.77,0.42,5.49,4
-1.61,0.40,5.01,4
-0.81,0.18,5.79,3
-1.12,0.28,5.76,3
3.33,-0.75,5.18,4
-1.11,0.38,5.97,3
-0.58,0.11,5.47,4
0.53,-0.24,5.99,3
-1.79,0.44,5.23,4
-2.47,0.52,5.31,4
-1.11,0.23,5.38,4
-2.03,0.48,5.46,4
-1.57,0.35,5.46,4
-1.12,0.26,5.99,3
-0.98,0.22,5.82,3
-1.34,0.29,5.26,4
-0.96,0.21,5.66,3
-1.07,0.25,5.13,4
-0.58,0.16,5.51,3
-3.08,0.61,5.12,4
-0.43,0.37,5.56,3
-2.21,0.48,5.46,4
-1.71,0.42,5.33,4
-1.92,0.45,5.44,4
-0.10,-0.04,5.02,4
-0.84,0.20,7.00,3
-1.80,0.41,7.92,2
-0.59,0.13,7.92,2
-1.58,0.44,7.96,2
-1.25,0.35,7.15,3
0.11,-0.09,7.13,3
0.55,-0.17,7.91,2
-0.06,-0.06,7.95,2
2.54,-0.54,7.95,2
-1.93,0.40,7.83,2
-0.47,0.14,7.06,3
0.68,-0.30,9.45,2
-0.07,0.02,8.60,2
-0.11,0.03,7.07,3
-1.01,0.22,7.91,2
-1.36,0.31,7.91,2
-1.82,0.45,9.76,1
-1.50,0.35,7.28,3
-0.35,0.07,7.10,3
-0.25,0.01,9.48,2
-2.09,0.46,7.46,3
1.22,-0.44,9.96,1
-0.38,0.09,7.71,2
-0.71,0.18,8.02,2
-1.59,0.42,8.15,2
0.39,-0.22,9.70,1
-0.62,0.15,8.48,2
0.31,-0.18,8.59,2
0.59,-0.24,9.52,1
0.60,-0.28,9.94,1
-0.06,0.03,7.13,3
-2.20,0.43,8.87,2
2.69,-0.50,10.19,1
-0.92,0.19,7.66,2
3.08,-0.57,9.59,1
-0.52,0.14,11.17,1
-1.09,0.28,11.17,1
-0.57,0.39,10.55,1
-0.94,0.45,8.57,2
-1.73,0.29,8.66,2
-1.26,0.24,8.02,2
-0.52,0.12,11.51,1
-0.96,0.26,10.70,1
-1.27,0.31,10.38,1
-0.99,0.28,10.78,1
-2.07,0.35,8.62,2
-0.91,0.22,12.05,1
-2.28,0.56,10.29,1
-0.55,-0.01,7.43,3
0.04,-0.10,9.68,1
-2.13,0.77,7.68,2
-0.68,0.14,12.30,1
-1.17,0.27,10.50,1
-1.66,0.28,8.62,2
-1.36,0.38,11.48,1
-3.10,0.87,8.76,2
-1.22,0.32,7.21,3
-2.43,0.54,27.06,0
0.90,-0.41,33.44,0
-1.59,0.38,31.00,0
-2.25,0.51,19.00,0
-2.06,0.47,23.00,0
-1.22,0.29,27.00,0
-2.69,0.67,23.00,0
-1.58,0.40,21.00,0
-1.53,0.38,39.00,0
-2.19,0.51,22.00,0
-2.45,0.52,21.00,0
-1.43,0.34,25.00,0
-2.25,0.49,21.00,0
-2.88,0.67,25.00,0
-3.80,0.42,34.00,0
-1.89,0.45,28.00,0
-1.20,0.29,18.00,0
-2.32,0.52,19.00,0
-2.60,0.57,22.00,0
-1.42,0.36,33.00,0
-2.16,0.49,22.00,0
-1.31,0.33,20.00,0
0.30,-0.12,22.00,0
-0.81,0.20,18.00,0
-2.22,0.50,21.00,0
-2.09,0.49,31.00,0
-2.03,0.43,24.00,0
-1.95,0.52,19.00,0
-2.40,0.51,23.00,0
0.68,-0.21,21.00,0
-2.27,0.51,30.00,0
-2.37,0.52,29.00,0
-0.65,0.16,26.00,0
